Review,Rating,Date,Helpful Count,source,raw_text,cleaned_text
good,5,2026-07-31 12:02:07 UTC,0,play_store,good,good
very good service and very goid quality,5,2026-07-31 12:02:04 UTC,0,play_store,very good service and very goid quality,good service goid quality
Good Wark,4,2026-07-31 12:01:51 UTC,0,play_store,Good Wark,good wark
CHAKKI AATA MANGWAYA KALL HI..AESA HAI JAISE SHISHA PISA GAYA HO KOI COUSTOMER SUPPORT NHI HAI...NA KAHI SE BADLNE KA OPTION AA RAHA HAI...MERE PAISE BARBAD HO GAYE.BINA BAAT.....,1,2026-07-31 12:00:48 UTC,0,play_store,CHAKKI AATA MANGWAYA KALL HI..AESA HAI JAISE SHISHA PISA GAYA HO KOI COUSTOMER SUPPORT NHI HAI...NA KAHI SE BADLNE KA OPTION AA RAHA HAI...MERE PAISE BARBAD HO GAYE.BINA BAAT.....,chakki aata mangwaya kall hiaesa hai jaise shisha pisa gaya ho koi coustomer support nhi haina kahi se badlne ka option aa raha haimere paise barbad ho gayebina baat
v good,5,2026-07-31 12:00:46 UTC,0,play_store,v good,v good
very good 👍 refund,5,2026-07-31 12:00:19 UTC,0,play_store,very good 👍 refund,good refund
ok,5,2026-07-31 11:59:43 UTC,0,play_store,ok,ok
Nice,5,2026-07-31 11:58:05 UTC,0,play_store,Nice,nice
good app,5,2026-07-31 11:57:38 UTC,0,play_store,good app,good app
good and affordable,5,2026-07-31 11:55:27 UTC,0,play_store,good and affordable,good affordable
delivery partner's location isn't showing in this application,1,2026-07-31 11:55:22 UTC,0,play_store,delivery partner's location isn't showing in this application,delivery partner location isnt showing application
very good service,5,2026-07-31 11:54:33 UTC,0,play_store,very good service,good service
gud to use,5,2026-07-31 11:54:13 UTC,0,play_store,gud to use,gud use
"very good service, fast delivery every time",5,2026-07-31 11:52:42 UTC,0,play_store,"very good service, fast delivery every time",good service fast delivery every time
very good,5,2026-07-31 11:52:30 UTC,0,play_store,very good,good
good delivery app,4,2026-07-31 11:52:24 UTC,0,play_store,good delivery app,good delivery app
good onee,4,2026-07-31 11:50:23 UTC,0,play_store,good onee,good onee
The Dilivery Is on time I like it 👍,4,2026-07-31 11:46:22 UTC,0,play_store,The Dilivery Is on time I like it 👍,dilivery time like
best on best 10/10,5,2026-07-31 11:44:44 UTC,0,play_store,best on best 10/10,best best 1010
Minimum Order too Hight ₹149/-,1,2026-07-31 11:41:42 UTC,0,play_store,Minimum Order too Hight ₹149/-,minimum order hight
very very poor packing items was dirty In three items also they don't gave hand bag.,1,2026-07-31 11:38:30 UTC,1,play_store,very very poor packing items was dirty In three items also they don't gave hand bag.,poor pack item dirty three item also dont give hand bag
best delivery aap,5,2026-07-31 11:37:56 UTC,0,play_store,best delivery aap,best delivery aap
very nice,5,2026-07-31 11:35:48 UTC,1,play_store,very nice,nice
fast service i love it,5,2026-07-31 11:33:41 UTC,0,play_store,fast service i love it,fast service love
gode,1,2026-07-31 11:32:25 UTC,0,play_store,gode,gode
100 ki shopping pe hi free delivery laga do yaar,2,2026-07-31 11:31:58 UTC,0,play_store,100 ki shopping pe hi free delivery laga do yaar,100 ki shopping pe hi free delivery laga yaar
nic,5,2026-07-31 11:30:19 UTC,0,play_store,nic,nic
best,5,2026-07-31 11:29:56 UTC,0,play_store,best,best
