id,source,date,rating,text,author,url,scraped_at
app_store_14370573094,app_store,2026-07-31T06:21:28-07:00,5,Thank you for fast delivery. Fast delivery and nice,Shruti Thorat,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14370552225,app_store,2026-07-31T06:15:29-07:00,1,Bhot hi bekar app hai. Replacement or refund ka option limited hai chahe product pasand aaye ya nhi pr agar ek baar product sell hogya to vo replace nhi hota- 1 rating hai is app ki,Vivek 1312,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14370551326,app_store,2026-07-31T06:15:12-07:00,5,Service. Good service,Neetsir,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14370395334,app_store,2026-07-31T05:29:11-07:00,5,Appreciation. Super duper services time ki cigarettes kavalante meere best service bro,Boddeti balu,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14370299727,app_store,2026-07-31T04:59:37-07:00,1,"Over priced. Products are overpriced and comes with extra charges 
Zepto is far better",Sharath.ammula,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14370250801,app_store,2026-07-31T04:43:53-07:00,5,Best and fast food delivery. @5star,Anta Manta,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14369871826,app_store,2026-07-31T02:27:40-07:00,5,Great service. Too much great service,Jeenu77,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14369774694,app_store,2026-07-31T01:49:27-07:00,1,"Not user friendly options they are providing. If I order something for someone else, how can I raise a return when only the live camera option is available? There should be an option to upload an existing photo",Anjalifromindia,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14369723482,app_store,2026-07-31T01:29:02-07:00,1,"Uninstalling the app. Uninstalling the app because now a days blinkit is also doing fraud , i paid for products they don’t deliver it",Nilasaya,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14369502285,app_store,2026-07-30T23:58:43-07:00,5,Good. Good,Hima1999Toronto,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14369421192,app_store,2026-07-30T23:24:37-07:00,4,Good n fast. Variety of products and delivery is fast,vivekhu,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14369407437,app_store,2026-07-30T23:18:53-07:00,5,"Handling Charge. Handling Charge should not be more than 5 rupees, others like zepto or big basket never ask for handling charges n all",Bum Bahadur,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14369368656,app_store,2026-07-30T23:02:32-07:00,5,Made easy everything. 10/10,Rocket786@,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14369199893,app_store,2026-07-30T21:51:31-07:00,3,Cancellation of order. Cancellation should be provisioned within 5 minutes of placing order,Arun Ranchi,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14369166976,app_store,2026-07-30T21:37:44-07:00,1,Delevery charges. All time pay delevery charges 9rs + 12rs package fees🤦🤦kam se kam 150rs  upar toh free dena chaheye...😍now i order Amazon 11min delevery 149rs free or 499rs above 50rs cashback..bye bye blinkit👈,Baap68,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14369144691,app_store,2026-07-30T21:28:28-07:00,5,Happy customer. Great job,Kcc enterprise,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14369125234,app_store,2026-07-30T21:20:25-07:00,3,Complaint. I am a regular buyer and have no issues until a refund payment could not made by Blinkit which I claim past week. They took the product but didn’t refund my money,Indrani Naskar,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14369057708,app_store,2026-07-30T20:53:00-07:00,5,Good. Nice,Bhagi raj,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14368976204,app_store,2026-07-30T20:20:51-07:00,5,Quick and excellent. Delivery parters always gives a prompt response,Avinash Pathak,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14368900979,app_store,2026-07-30T19:51:53-07:00,1,Wrong delivery. Wrong items delivered,T E J A A,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14368864022,app_store,2026-07-30T19:37:57-07:00,1,Vegetable are 3rd class. They show beautiful pics of the vegetable to sell but the actual products are low grade,Safarwal4,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14368592448,app_store,2026-07-30T17:56:58-07:00,5,Never disappoints. Awesome,Srinooooooo,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14368539544,app_store,2026-07-30T17:36:51-07:00,5,"Nice aap. Hardly give discounts on Dilivery but still it’s nice app. Get my things anytime, anywhere",Neha kanade,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14368412225,app_store,2026-07-30T16:48:00-07:00,1,"It was good that before. In my wallet, is 5K and and I order 2423 they  taken double amount of for that from my wallet, if I email them, they are  not responding also",⛪️ag,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14367802815,app_store,2026-07-30T12:59:46-07:00,2,"Don’t make user experience difficult. I don’t know who suggested it and who approved it, but I would rather have a seamless vpn connection than spend my time on an app that is not operable on vpn. You have the location you need to deliver to, so why can't the app work on vpn as it used to? I used to spend considerable amount of time on the app making unnecessary purchases while my vpn stayed on. Now that I can't use the app with vpn on, I completed adding items in under 5 minutes. I suppose I should thank the new update for saving me time and money",K M Chihnitha,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14367553562,app_store,2026-07-30T11:35:40-07:00,2,Lack of competence. If i want to pay in cash and dont have digital money i am straight up denied service after 12 am to 6 am what kinda service is this,Yashashv,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14367534221,app_store,2026-07-30T11:29:24-07:00,5,USEFUL. It is very useful and very fast,YS MALIK,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14367445718,app_store,2026-07-30T11:00:48-07:00,5,"Blinkit is very good, app. Very, very good",Kannancandy,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14367443784,app_store,2026-07-30T11:00:11-07:00,3,Why 3 star. Very irritating problem of change u can’t even expect a 2 rs change n ur delivery charge is high,shivpree17,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14367348648,app_store,2026-07-30T10:30:16-07:00,5,Review. Good,2324xoxox,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14367347389,app_store,2026-07-30T10:29:53-07:00,1,Money not get refunded. I ordered an EarPods worth 504 and it was not working properly so I requested for a refund and the order was picked next minute only but it has been a month now the amount not get refunded it’s very bad also there should be a support number not only chats or there should be an free chat not only options very bad I want my money back,samaira0001,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14367171901,app_store,2026-07-30T09:36:22-07:00,5,Excellent. Best services,VPY Arts,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14366918233,app_store,2026-07-30T08:22:58-07:00,5,So good service. Nice,Sohan Singh???,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14366907222,app_store,2026-07-30T08:19:49-07:00,5,Very good app. It was very helpful app love it,Khushi Lodhi ✨,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14366891829,app_store,2026-07-30T08:15:29-07:00,1,Blinkit delivery boy pathetic. After order I have got 3 calls to reach my home . It is ridiculous. The address is clearly written in my address,RRai10394746,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14366713939,app_store,2026-07-30T07:25:38-07:00,1,Selling Defective products is the style of selling blinkit. I received defective products and support team just saying we can’t do nothing,Shyam Prakash Gollapalli,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14366674025,app_store,2026-07-30T07:14:39-07:00,5,Gourab. Thank you to give service this area,Gourab Roy Chowdhury,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14366610262,app_store,2026-07-30T06:56:50-07:00,5,good. good,ninkjhfg,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14366301442,app_store,2026-07-30T05:25:35-07:00,5,Trident Spectra A4 Rim. Trident Spectra A4 Rim. The pack was open and pages are torn,qwertyuuiioolbvfs,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14366259315,app_store,2026-07-30T05:12:23-07:00,5,Blinkit. Very nice service,Jazlyntejas,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
