Review,Rating,Date,Helpful Count
perfect app 💯 can order the items easily and is affordable too .,5,2026-07-31 09:14:11 UTC,0
nice,5,2026-07-31 09:13:04 UTC,0
best hai,5,2026-07-31 09:09:43 UTC,0
Good 👍,5,2026-07-31 09:08:27 UTC,0
"I ordered two items a long time ago, but the delivery person handed over only one item while charging me the price for both.No money was refunded even after I informed them about the matter.Perhaps they(#blinkit) thought of it as a minor incident.",1,2026-07-31 09:07:52 UTC,0
good,1,2026-07-31 09:07:05 UTC,0
communication skills poor,4,2026-07-31 09:04:06 UTC,0
very poor system. not update location in app properly.. I am so survive lot of my valuable time for just add my location in app. also delivary man are very ugly behave ....,1,2026-07-31 09:02:13 UTC,0
good,5,2026-07-31 09:02:01 UTC,0
why do you not provide in my area that's annoying 😭,1,2026-07-31 09:01:40 UTC,0
Superb,5,2026-07-31 08:58:55 UTC,0
good,5,2026-07-31 08:58:04 UTC,0
luvvv this app..!!,5,2026-07-31 08:57:28 UTC,0
good very well,5,2026-07-31 08:56:52 UTC,0
good service,5,2026-07-31 08:56:24 UTC,0
very nice,5,2026-07-31 08:56:02 UTC,0
Too much surge charge and taxes,5,2026-07-31 08:55:57 UTC,0
I like it and the services given are superb,5,2026-07-31 08:55:45 UTC,0
very good 😊,5,2026-07-31 08:55:31 UTC,0
good,5,2026-07-31 08:54:48 UTC,0
awesome 👍,5,2026-07-31 08:54:32 UTC,0
great,5,2026-07-31 08:53:18 UTC,0
Try to increase the delivery distance. Not just in srinagar but other parts too for eg pampore,3,2026-07-31 08:52:19 UTC,0
Nice,5,2026-07-31 08:51:57 UTC,0
love blinkit as always delivers on time and never disaapoint. vast variety of products and excellent service.,5,2026-07-31 08:51:26 UTC,0
good,5,2026-07-31 08:51:01 UTC,0
good,5,2026-07-31 08:49:52 UTC,0
nice,5,2026-07-31 08:49:22 UTC,0
best,5,2026-07-31 08:46:57 UTC,0
good service,5,2026-07-31 08:46:51 UTC,0
nice app 🥰🤩,4,2026-07-31 08:46:34 UTC,0
super 💯,5,2026-07-31 08:46:12 UTC,0
good app,5,2026-07-31 08:45:05 UTC,0
super,5,2026-07-31 08:44:28 UTC,0
very good app,5,2026-07-31 08:44:26 UTC,0
Awesome,5,2026-07-31 08:43:50 UTC,0
I ordered first time through blinkit but the delivered without blikit bag... very dirty hand was of the delievery boy.,1,2026-07-31 08:43:41 UTC,0
it's good 👍🏼😊,3,2026-07-31 08:43:28 UTC,0
good,5,2026-07-31 08:41:24 UTC,0
"Thankyou so much, just please keep the app same forever 💓",5,2026-07-31 08:39:21 UTC,0
⭐⭐⭐⭐⭐Delivered on time and handled the order with care. Great service🌸,5,2026-07-31 08:38:40 UTC,0
good,3,2026-07-31 08:38:22 UTC,0
good,2,2026-07-31 08:37:59 UTC,0
doesn't carry any sort of balance while given cash on delivery...eveytime I face this issue...why then don't carry a little Change??!! for example...my order was 458 and for that I have given 500 rupees..Still they want 458 change...how am I supposed to give this much change?! Ridiculous!! And How they expect that everyone will have cash online?,1,2026-07-31 08:37:38 UTC,0
acha hai,5,2026-07-31 08:37:15 UTC,0
Every time they charge high demand charges and handling charges upto 40-50 rs. I rarely use this.to deliver in 35 minutes.,1,2026-07-31 08:36:48 UTC,0
cash on delivery is not able under certain amount,3,2026-07-31 08:35:38 UTC,0
good,5,2026-07-31 08:34:46 UTC,0
exellent,5,2026-07-31 08:33:39 UTC,0
It is a very fast delivery aap and I like the service by blinkit,5,2026-07-31 08:29:33 UTC,0
