Review,Rating,Date,Helpful Count,source,raw_text,cleaned_text,is_relevant,exploration_signal,barriers,categories_mentioned,relevance_reason
very good service,5,2026-07-31 14:02:32 UTC,0,play_store,very good service,good service,False,noise,,,no category-exploration signal
very poor 👎,1,2026-07-31 14:02:31 UTC,0,play_store,very poor 👎,poor,False,noise,,,no category-exploration signal
good,4,2026-07-31 14:01:21 UTC,0,play_store,good,good,False,noise,,,no category-exploration signal
very bad because it's showing time in 10 min. and doing delivered in one hour,1,2026-07-31 13:59:54 UTC,0,play_store,very bad because it's showing time in 10 min. and doing delivered in one hour,bad showing time 10 min deliver one hour,False,noise,,,no category-exploration signal
great job 👍,5,2026-07-31 13:59:50 UTC,0,play_store,great job 👍,great job,False,noise,,,no category-exploration signal
there is no sufficient quantity of tinda.,3,2026-07-31 13:59:48 UTC,0,play_store,there is no sufficient quantity of tinda.,sufficient quantity tinda,False,noise,,,no category-exploration signal
so good,5,2026-07-31 13:56:56 UTC,0,play_store,so good,good,False,noise,,,no category-exploration signal
nice 👍🙂,5,2026-07-31 13:54:30 UTC,0,play_store,nice 👍🙂,nice,False,noise,,,no category-exploration signal
nice and vere helpfull app and very kind delivery partner,5,2026-07-31 13:54:24 UTC,0,play_store,nice and vere helpfull app and very kind delivery partner,nice vere helpfull app kind delivery partner,False,noise,,,no category-exploration signal
horrible customer care service,1,2026-07-31 13:54:15 UTC,0,play_store,horrible customer care service,horrible customer care service,False,noise,,,no category-exploration signal
nice prectice n thks,4,2026-07-31 13:53:58 UTC,0,play_store,nice prectice n thks,nice prectice n thks,False,noise,,,no category-exploration signal
really great!!!!!!!,5,2026-07-31 13:53:08 UTC,0,play_store,really great!!!!!!!,really great,False,noise,,,no category-exploration signal
"super fast delivery,",5,2026-07-31 13:53:00 UTC,0,play_store,"super fast delivery,",super fast delivery,False,noise,,,short generic praise/complaint without category cues
best 😘,4,2026-07-31 13:52:57 UTC,0,play_store,best 😘,best,False,noise,,,no category-exploration signal
good secives,5,2026-07-31 13:52:55 UTC,0,play_store,good secives,good secives,False,noise,,,no category-exploration signal
Nice,3,2026-07-31 13:51:58 UTC,0,play_store,Nice,nice,False,noise,,,no category-exploration signal
best service,5,2026-07-31 13:51:07 UTC,0,play_store,best service,best service,False,noise,,,no category-exploration signal
good app nice,5,2026-07-31 13:50:04 UTC,0,play_store,good app nice,good app nice,False,noise,,,short generic praise/complaint without category cues
nice service,5,2026-07-31 13:49:45 UTC,0,play_store,nice service,nice service,False,noise,,,no category-exploration signal
👍 Good,5,2026-07-31 13:47:21 UTC,0,play_store,👍 Good,good,False,noise,,,no category-exploration signal
