Review,Sentiment,Confidence Score
perfect app 💯 can order the items easily and is affordable too .,Positive,0.971151
nice,Positive,0.683301
best hai,Positive,0.818516
Good 👍,Positive,0.940207
"I ordered two items a long time ago, but the delivery person handed over only one item while charging me the price for both.No money was refunded even after I informed them about the matter.Perhaps they(#blinkit) thought of it as a minor incident.",Negative,0.791662
communication skills poor,Negative,0.864861
very poor system. not update location in app properly.. I am so survive lot of my valuable time for just add my location in app. also delivary man are very ugly behave ....,Negative,0.931524
why do you not provide in my area that's annoying 😭,Negative,0.929438
Superb,Positive,0.903224
luvvv this app..!!,Positive,0.977643
good very well,Positive,0.939857
good service,Positive,0.750889
very nice,Positive,0.922143
Too much surge charge and taxes,Negative,0.718909
I like it and the services given are superb,Positive,0.981022
very good 😊,Positive,0.977476
awesome 👍,Positive,0.96823
great,Positive,0.690561
Try to increase the delivery distance. Not just in srinagar but other parts too for eg pampore,Neutral,0.822643
love blinkit as always delivers on time and never disaapoint. vast variety of products and excellent service.,Positive,0.981375
best,Positive,0.7506
nice app 🥰🤩,Positive,0.98452
super 💯,Positive,0.922057
good app,Positive,0.908638
very good app,Positive,0.955771
I ordered first time through blinkit but the delivered without blikit bag... very dirty hand was of the delievery boy.,Negative,0.860794
it's good 👍🏼😊,Positive,0.982249
"Thankyou so much, just please keep the app same forever 💓",Positive,0.970968
⭐⭐⭐⭐⭐Delivered on time and handled the order with care. Great service🌸,Positive,0.978764
doesn't carry any sort of balance while given cash on delivery...eveytime I face this issue...why then don't carry a little Change??!! for example...my order was 458 and for that I have given 500 rupees..Still they want 458 change...how am I supposed to give this much change?! Ridiculous!! And How they expect that everyone will have cash online?,Negative,0.808101
acha hai,Neutral,0.646818
Every time they charge high demand charges and handling charges upto 40-50 rs. I rarely use this.to deliver in 35 minutes.,Negative,0.855187
cash on delivery is not able under certain amount,Neutral,0.57524
exellent,Neutral,0.733805
It is a very fast delivery aap and I like the service by blinkit,Positive,0.974009
