Theme name,Number of reviews,Representative keywords,Representative reviews
Outliers / mixed,323,,good app nice | nice service | paisa loot liye mere
3स / 3स 𝙜𝙤𝙤𝙙 / 5star / 5star ooo,100,"3स, 3स 𝙜𝙤𝙤𝙙, 5star, 5star ooo, aalu, aalu anda, anda, anda valo",oho | 👍 | 😋
hai / bhi / bahut / nahi,84,"hai, bhi, bahut, nahi, ho, nahin, nhi, koi",mast | chakki aata mangwaya kall hiaesa hai jaise shisha pisa gaya ho koi coustomer support nhi haina kahi se badlne ka option aa raha haimere paise barbad ho gayebina baat | blinkit application totally froud fake kuch ordar kro assistant bhi batmeez hai miss prachi buy product blinkit price kuch dikhate hai milta kuch hai support se contact kro koi help nhi policy bhi hai 7 day replacement follow policy
time / time time / delivery time / time delivery,65,"time, time time, delivery time, time delivery, time order, egg, good time, time good",doesnt give back refund even call multiple time think order | way much time address location | every time ask change never bring change
best best / best / delivery best / best experience,52,"best best, best, delivery best, best experience, best delivery, app best, best instant, experience best",best | best best 1010 | best
customer / support / customer support / customer service,52,"customer, support, customer support, customer service, customer care, care, friendly, say",sufficient quantity tinda | horrible customer care service | order boat wireless earbuds get empty box customer service team responsive
service good / service / prompt service / prompt,50,"service good, service, prompt service, prompt, service service, karna chahiye, good prompt, efficient",service good | useless app service area | soooper staaaar service kudos
cancel / order / cancel order / order cancel,47,"cancel, order, cancel order, order cancel, order order, receive, wait order, receive order",havent receive order product already pay even didnt pick call first order scam like | useless app ever see pace order mistakenly option cancel place order less minute app fraud dont use | know fraud order satisfied say free delivery order 143 174 rupee show place order 187 give option know add dont give thief
item / weight / order item / receive,46,"item, weight, order item, receive, good item, money, hand, heavy",115 ka item dikha kar 150 aa rha h | poor pack item dirty three item also dont give hand bag | helful toh get various item market
bad / bad app / bad bad / bad service,46,"bad, bad app, bad bad, bad service, app bad, dont want, bad delivery, dirty bad",bad app totally fraud amount debit order place refund also issue | bad platform | bad delevery
product / good product / sirf / deliver product,46,"product, good product, sirf, deliver product, product good, deliver, product deliver, sirf sirf",deliver time good product | time give product expiry | great app product query time product deliver home
fast delivery / fast / delivery fast / delivery good,43,"fast delivery, fast, delivery fast, delivery good, delivery, app fast, delivery blinkit, delivery wish",best h fast delivery aati h | good app fast delivery | fast delivery aap like service blinkit
app app / app / app good / usefull,39,"app app, app, app good, usefull, baithe, thing good, nise, location app",good bahut achchha app | fruady app | app
good app / app good / app / good,39,"good app, app good, app, good, app service, app rainy, rainy season, season",dont good app also sell mrp príce | good app | good app certain product app definitely good others
charge / handle / handle charge / handling charge,38,"charge, handle, handle charge, handling charge, handling, surge, charge delivery, surge charge",well time please clarify handling charge | much surge charge tax | handling charge acceptable
excellent / excellent excellent / excellent service / service excellent,37,"excellent, excellent excellent, excellent service, service excellent, excellent app, despatch, radhe, app excellent",excellent | excellent | excellent
love / love app / love love / app love,36,"love, love app, love love, app love, love blinkit, thing love, wowww, really love",love blinkit | love app | lot love
easy / life / life easy / make life,36,"easy, life, life easy, make life, easy order, easy easy, make, fast easy",easy convinient | make life easy | easy option fast order
thanks / thanks blinkit / helpful / helpful app,34,"thanks, thanks blinkit, helpful, helpful app, helpful thanks, blinkit thanks, helpful helpful, app helpful",helpful | great mean literally save huge event home need emergency first aid thanks lot guy team | work delivery person great really appreciate effort thanks blinkit much help
